Title	Author	DOI	Link DOI	ACM	IEEE	SCOPUS
application source code modification for processor architecture lifetime improvement	Saad, M.B., Jedidi, A., Niar, S., Abid, M.	10.1504/IJES.2019.098289	https://doi.org/10.1504/IJES.2019.098289			https://www.scopus.com/inward/record.url?eid=2-s2.0-85063076636&partnerID=40&md5=b7bfd12a6b7a225aca9bed2b5a86bce0
applications of boolean matrices to the analysis of flow diagrams	Prosser, R.T.	10.1145/1460299.1460314	https://doi.org/10.1145/1460299.1460314			https://www.scopus.com/inward/record.url?eid=2-s2.0-85059263113&partnerID=40&md5=75ec68cd1b7114d961c1ad4e78c9651b
applications of static analysis and program structure in statistical debugging	Piramanayagam Arumuga Nainar, Benjamin R. Liblit	10.5555/2520203	https://doi.org/10.5555/2520203	https://dl.acm.org/doi/book/10.5555/2520203		
applying aspect mining techniques to understand an existing program	Fernanda Campos, Yadran Eterovic	10.1145/2384716.2384749	https://doi.org/10.1145/2384716.2384749	https://dl.acm.org/doi/10.1145/2384716.2384749		https://www.scopus.com/inward/record.url?eid=2-s2.0-84869849229&partnerID=40&md5=81d005c57a9c605f24d0848e18ae895d
applying code analysis and 3d design pattern grouping to facilitate program comprehension	J. Rilling, V. Nguyen	10.1109/VISSOF.2005.1684320	https://doi.org/10.1109/VISSOF.2005.1684320	https://dl.acm.org/doi/10.1109/VISSOF.2005.1684320	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1684320	https://www.scopus.com/inward/record.url?eid=2-s2.0-84886484242&partnerID=40&md5=01cd7df213eef3996b5babcb30615215
applying fuzzy reasoning to plan retrieval in a knowledgebased program understanding/fault localization system	Floyd E. Saner, Ilene Burnstein	10.5555/930081	https://doi.org/10.5555/930081	https://dl.acm.org/doi/book/10.5555/930081		
applying inspection to objectoriented code	Macdonald, F., Miller, J., Brooks, A., Roper, M., Wood, M.	10.1002/(SICI)1099-1689(199606)6:2<61::AID-STVR107>3.0.CO;2-3	https://doi.org/10.1002/(SICI)1099-1689(199606)6:2<61::AID-STVR107>3.0.CO;2-3			https://www.scopus.com/inward/record.url?eid=2-s2.0-0030174041&partnerID=40&md5=3b456b798b9a4edb9f595033b85f5869
applying markov models to identify grammatical patterns of function identifiers	R. S. Alsuhaibani	10.1109/ICSME.2019.00097	https://doi.org/10.1109/ICSME.2019.00097		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8918952	https://www.scopus.com/inward/record.url?eid=2-s2.0-85077194144&partnerID=40&md5=75988f4bdfc89cd2188035117d1e8519
applying plan recognition algorithms to program understanding	Alex Quilici, Qiang Yang, Steven Woods	10.5555/788008.788163	https://doi.org/10.5555/788008.788163	https://dl.acm.org/doi/10.5555/788008.788163	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=552827	https://www.scopus.com/inward/record.url?eid=2-s2.0-0032117390&partnerID=40&md5=65926973d28d3a37e05b634bd06908db
applying probabilistic models to c++ code on an industrial scale	Andrey Shedko, Ilya Palachev, Andrey Kvochko, Aleksandr Semenov, Kwangwon Sun	10.1145/3387940.3391477	https://doi.org/10.1145/3387940.3391477	https://dl.acm.org/doi/10.1145/3387940.3391477		https://www.scopus.com/inward/record.url?eid=2-s2.0-85093100717&partnerID=40&md5=d16ced08f8231d3bddd65846c8761f52
