type	title	title-adjusted	doi	acm_url	authors	booktitle	published_date
Article	Workshop on Program Comprehension through Dynamic Analysis (PCODA10)	workshop on program comprehension through dynamic analysis (pcoda10)	10.1109/WCRE.2010.40	https://dl.acm.org/doi/10.1109/WCRE.2010.40	Abdelwahab Hamou-Lhadj, David Rothlisberger, Andy Zaidman, Orla Greevy	WCRE '10: Proceedings of the 2010 17th Working Conference on Reverse Engineering	13 October 2010
Article	Program Comprehension Experiences with GXL; Comprehension for Comprehension	program comprehension experiences with gxl; comprehension for comprehension	10.5555/580131.856998	https://dl.acm.org/doi/10.5555/580131.856998	Claire Knight, Malcolm Munro	IWPC '02: Proceedings of the 10th International Workshop on Program Comprehension	27 June 2002
Article	Supporting program comprehension using semantic and structural information	supporting program comprehension using semantic and structural information	10.5555/381473.381484	https://dl.acm.org/doi/10.5555/381473.381484	Jonathan I. Maletic, Andrian Marcus	ICSE '01: Proceedings of the 23rd International Conference on Software Engineering	01 July 2001
report	Program comprehension risks and opportunities in extreme programming	program comprehension risks and opportunities in extreme programming	10.5555/869182	https://dl.acm.org/doi/book/10.5555/869182	Arie Deursen		31 May 2001
Article	Building a Research Infrastructure for Program Comprehension Observations	building a research infrastructure for program comprehension observations	10.5555/523511.837876	https://dl.acm.org/doi/10.5555/523511.837876	Steve Lang, Anneliese von Mayrhauser	WPC '97: Proceedings of the 5th International Workshop on Program Comprehension (WPC '97)	28 May 1997
editorial	Preface to the special issue on program comprehension	preface to the special issue on program comprehension	10.1007/s10664-020-09806-x	https://dl.acm.org/doi/10.1007/s10664-020-09806-x	Janet Siegmund, Chanchal K. Roy	Empirical Software Engineering (KLU-EMSE)	01 May 2020
editorial	Introduction to the special issue on program comprehension	introduction to the special issue on program comprehension	10.1002/smr.1962	https://dl.acm.org/doi/10.1002/smr.1962	Gabriele Bavota, Jonathan I. Maletic, Michael L. Collard	Journal of Software: Evolution and Process (WSMR)	13 June 2018
proceeding	ICPC '18: Proceedings of the 26th Conference on Program Comprehension	icpc 18 proceedings of the 26th conference on program comprehension	10.1145/3196321	https://dl.acm.org/doi/proceedings/10.1145/3196321	Foutse Khomh, Chanchal K. Roy, Janet Siegmund		28 May 2018
abstract	Spotting familiar code snippet structures for program comprehension	spotting familiar code snippet structures for program comprehension	10.1145/2786805.2807560	https://dl.acm.org/doi/10.1145/2786805.2807560	Venkatesh Vinayakarao	ESEC/FSE 2015: Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering	30 August 2015
Article	Workshop on Program Comprehension through Dynamic Analysis (PCODA07)	workshop on program comprehension through dynamic analysis (pcoda07)	10.1109/WCRE.2007.53	https://dl.acm.org/doi/10.1109/WCRE.2007.53	Abdelwahab Hamou-Lhadj, Andy Zaidman, Orla Greevy	WCRE '07: Proceedings of the 14th Working Conference on Reverse Engineering	28 October 2007
chapter	Approaches to clustering for program comprehension and remodularization	approaches to clustering for program comprehension and remodularization	10.5555/505630.505637	https://dl.acm.org/doi/10.5555/505630.505637	Timothy C. Lethbridge, Nicolas Anquetil	Advances in software engineering	01 January 2002
Article	JAN - Java animation for program understanding	jan java animation for program understanding	10.5555/1153917.1153969	https://dl.acm.org/doi/10.5555/1153917.1153969	K.-P. Lohr, A. Vratislavsky	HCC '03: Proceedings of the 2003 IEEE Symposium on Human Centric Computing Languages and Environments	28 October 2003
Article	Recognition in a program understanding system	recognition in a program understanding system	10.5555/1624861.1624922	https://dl.acm.org/doi/10.5555/1624861.1624922	Stephen Fickas, Ruven Brooks	IJCAI'79: Proceedings of the 6th international joint conference on Artificial intelligence - Volume 1	20 August 1979
research-article	Hierarchical abstraction of execution traces for program comprehension	hierarchical abstraction of execution traces for program comprehension	10.1145/3196321.3196343	https://dl.acm.org/doi/10.1145/3196321.3196343	Yang Feng, Kaj Dreef, James A. Jones, Arie van Deursen	ICPC '18: Proceedings of the 26th Conference on Program Comprehension	28 May 2018
research-article	Automated construction of memory diagrams for program comprehension	automated construction of memory diagrams for program comprehension	10.1145/1900008.1900040	https://dl.acm.org/doi/10.1145/1900008.1900040	Andrew R. Dalton, William Kreahling	ACM SE '10: Proceedings of the 48th Annual Southeast Regional Conference	15 April 2010
article	Special issue on information retrieval for program comprehension	special issue on information retrieval for program comprehension	10.1007/s10664-008-9097-1	https://dl.acm.org/doi/10.1007/s10664-008-9097-1	Letha Etzkorn, Tim Menzies	Empirical Software Engineering (KLU-EMSE)	01 February 2009
Article	Designing your Next Empirical Study on Program Comprehension	designing your next empirical study on program comprehension	10.1109/ICPC.2007.17	https://dl.acm.org/doi/10.1109/ICPC.2007.17	Massimiliano Di Penta, R. E. K. Stirewalt, Eileen Kraemer	ICPC '07: Proceedings of the 15th IEEE International Conference on Program Comprehension	26 June 2007
Article	Program Comprehension Risks and Opportunities in Extreme Programming	program comprehension risks and opportunities in extreme programming	10.5555/832308.837134	https://dl.acm.org/doi/10.5555/832308.837134	Arie Van Deursen	WCRE '01: Proceedings of the Eighth Working Conference on Reverse Engineering (WCRE'01)	02 October 2001
book	10th International Workshop on Program Comprehension: 27-29 June, 2002, Paris, France: Proceedings	10th international workshop on program comprehension 2729 june, 2002, paris, france proceedings	10.5555/863629	https://dl.acm.org/doi/book/10.5555/863629			01 January 2002
Article	Theories, Methods and Tools in Program Comprehension: Past, Present and Future	theories, methods and tools in program comprehension past, present and future	10.1109/WPC.2005.38	https://dl.acm.org/doi/10.1109/WPC.2005.38	Margaret-Anne Storey	IWPC '05: Proceedings of the 13th International Workshop on Program Comprehension	15 May 2005
Article	An Experiment in Scientific Program Understanding	an experiment in scientific program understanding	10.5555/786768.786961	https://dl.acm.org/doi/10.5555/786768.786961	Mark E. M. Stewart	ASE '00: Proceedings of the 15th IEEE international conference on Automated software engineering	11 September 2000
article	Points-to analysis for program understanding	pointsto analysis for program understanding	10.1016/S0164-1212%2898%2910058-4	https://dl.acm.org/doi/10.1016/S0164-1212%2898%2910058-4	R. fiutem, P. Tonella, G. Antoniol, E. Merlo	Journal of Systems and Software (JSSO)	01 January 1999
Article	Theories and techniques of program understanding	theories and techniques of program understanding	10.5555/962111.962115	https://dl.acm.org/doi/10.5555/962111.962115	Santanu Paul, Atul Prakash, Erich Buss, John Henshaw	CASCON '91: Proceedings of the 1991 conference of the Centre for Advanced Studies on Collaborative research	28 October 1991
article	Integrated hypertext and program understanding tools	integrated hypertext and program understanding tools	10.1147/sj.303.0363	https://dl.acm.org/doi/10.1147/sj.303.0363	P. Brown	IBM Systems Journal (ISYJ)	01 August 1991
short-paper	Combining Biometric Data with Focused Document Types Classifies a Success of Program Comprehension	combining biometric data with focused document types classifies a success of program comprehension	10.1145/3387904.3389291	https://dl.acm.org/doi/10.1145/3387904.3389291	Toyomi Ishida, Hidetake Uwano, Yoshiharu Ikutani	ICPC '20: Proceedings of the 28th International Conference on Program Comprehension	13 July 2020
research-article	Program comprehension and code complexity metrics: a replication package of an fMRI study	program comprehension and code complexity metrics a replication package of an fmri study	10.1109/ICSE-Companion52605.2021.00071	https://dl.acm.org/doi/10.1109/ICSE-Companion52605.2021.00071	Norman Peitek, Sven Apel, Chris Parnin, André Brechmann, Janet Siegmund	ICSE '21: Proceedings of the 43rd International Conference on Software Engineering: Companion Proceedings	25 May 2021
Article	Program Understanding During Software Adaptation Tasks	program understanding during software adaptation tasks	10.5555/850947.853310	https://dl.acm.org/doi/10.5555/850947.853310	Anneliese von Mayrhauser, A. Marie Vans	ICSM '98: Proceedings of the International Conference on Software Maintenance	16 March 1998
doctoral_thesis	Pattern matching techniques for program understanding	pattern matching techniques for program understanding	10.5555/927554	https://dl.acm.org/doi/book/10.5555/927554	Konstantinos A. Kontoyiannis, Renato De Mori		01 January 1997
