type	title	title-adjusted	doi	acm_url	authors	booktitle	published_date
research-article	Measuring the cognitive load of software developers: a systematic mapping study	measuring the cognitive load of software developers a systematic mapping study	10.1109/ICPC.2019.00018	https://dl.acm.org/doi/10.1109/ICPC.2019.00018	Lucian Gonçales, Kleinner Farias, Bruno da Silva, Jonathan Fessler	ICPC '19: Proceedings of the 27th International Conference on Program Comprehension	25 May 2019
article	Design pattern recovery based on annotations	design pattern recovery based on annotations	10.1016/j.advengsoft.2009.10.014	https://dl.acm.org/doi/10.1016/j.advengsoft.2009.10.014	Ghulam Rasool, Ilka Philippow, Patrick Mäder	Advances in Engineering Software (ADES)	01 April 2010
poster	Understanding code architectures via interactive exploration and layout of layered diagrams	understanding code architectures via interactive exploration and layout of layered diagrams	10.1145/1449814.1449856	https://dl.acm.org/doi/10.1145/1449814.1449856	Vineet Sinha, Elizabeth L. Murnane, Scott W. Kurth, Edy S. Liongosari, Rob Miller, David Karger	OOPSLA Companion '08: Companion to the 23rd ACM SIGPLAN conference on Object-oriented programming systems languages and applications	19 October 2008
article	Mining source code elements for comprehending object-oriented systems and evaluating their maintainability	mining source code elements for comprehending objectoriented systems and evaluating their maintainability	10.1145/1147234.1147240	https://dl.acm.org/doi/10.1145/1147234.1147240	Yiannis Kanellopoulos, Thimios Dimopulos, Christos Tjortjis, Christos Makris	ACM SIGKDD Explorations Newsletter (SIGKDD)	01 June 2006
research-article	Exemplifying Moldable Development	exemplifying moldable development	10.1145/2984380.2984385	https://dl.acm.org/doi/10.1145/2984380.2984385	Andrei Chiş, Tudor Gîrba, Juraj Kubelka, Oscar Nierstrasz, Stefan Reichhart, Aliaksei Syrel	PX/16: Proceedings of the Programming Experience 2016 (PX/16) Workshop	18 July 2016
Article	Towards a Taxonomy of Programming-Related Difficulties during Maintenance	towards a taxonomy of programmingrelated difficulties during maintenance	10.1109/ICSM.2013.63	https://dl.acm.org/doi/10.1109/ICSM.2013.63	Aiko Yamashita, Leon Moonen	ICSM '13: Proceedings of the 2013 IEEE International Conference on Software Maintenance	22 September 2013
Article	A Framework for Examining Topical Locality in Object-Oriented Software	a framework for examining topical locality in objectoriented software	10.1109/COMPSAC.2012.32	https://dl.acm.org/doi/10.1109/COMPSAC.2012.32	Nan Niu, Juha Savolainen, Tanmay Bhowmik, Anas Mahmoud, Sandeep Reddivari	COMPSAC '12: Proceedings of the 2012 IEEE 36th Annual Computer Software and Applications Conference	16 July 2012
demonstration	Understanding code architectures via interactive exploration and layout of layered diagrams	understanding code architectures via interactive exploration and layout of layered diagrams	10.1145/1449814.1449841	https://dl.acm.org/doi/10.1145/1449814.1449841	Vineet Sinha, Elizabeth L. Murnane, Scott W. Kurth, Edy S. Liongosari, Rob Miller, David Karger	OOPSLA Companion '08: Companion to the 23rd ACM SIGPLAN conference on Object-oriented programming systems languages and applications	19 October 2008
Article	A Conceptual Framework for Application Comprehension	a conceptual framework for application comprehension	10.1109/ITNG.2008.1	https://dl.acm.org/doi/10.1109/ITNG.2008.1	Venkat N. Gudivada, Jagadeesh Nandigam, Jay Bhuyan	ITNG '08: Proceedings of the Fifth International Conference on Information Technology: New Generations	07 April 2008
article	Reverse engineering of software threads: a design recovery technique for large multi-process systems	reverse engineering of software threads a design recovery technique for large multiprocess systems	10.1016/S0164-1212%2898%2910018-3	https://dl.acm.org/doi/10.1016/S0164-1212%2898%2910018-3	Norman Wilde, Christopher Casey, Joe Vandeville, Gray Trio, Dick Hotz	Journal of Systems and Software (JSSO)	01 October 1998
article	Visual Depiction of Decision Statements: What is Best forProgrammers and Non-Programmers?	visual depiction of decision statements what is best forprogrammers and nonprogrammers	10.1023/A%3A1009797801907	https://dl.acm.org/doi/10.1023/A%3A1009797801907	James D. Kiper, Brent Auernheimer, Charles K. Ames	Empirical Software Engineering (KLU-EMSE)	01 April 1997
research-article	Pangolin: an SFL-based toolset for feature localization	pangolin an sflbased toolset for feature localization	10.1109/ASE.2019.00119	https://dl.acm.org/doi/10.1109/ASE.2019.00119	Bruno Castro, Alexandre Perez, Rui Abreu	ASE '19: Proceedings of the 34th IEEE/ACM International Conference on Automated Software Engineering	10 November 2019
article	A lightweight approach to software validation by comparing UML use cases with internal program documentation selected via call graphs	a lightweight approach to software validation by comparing uml use cases with internal program documentation selected via call graphs	10.1007/s11219-007-9034-3	https://dl.acm.org/doi/10.1007/s11219-007-9034-3	Owen Funkhouser, Letha Hughes Etzkorn, William E. Hughes	Software Quality Journal (KLU-SQJO)	01 March 2008
research-article	Developer reading behavior while summarizing Java methods: size and context matters	developer reading behavior while summarizing java methods size and context matters	10.1109/ICSE.2019.00052	https://dl.acm.org/doi/10.1109/ICSE.2019.00052	Nahla J. Abid, Bonita Sharif, Natalia Dragan, Hend Alrasheed, Jonathan I. Maletic	ICSE '19: Proceedings of the 41st International Conference on Software Engineering	25 May 2019
Article	An Analysis of Machine Learning Algorithms for Condensing Reverse Engineered Class Diagrams	an analysis of machine learning algorithms for condensing reverse engineered class diagrams	10.1109/ICSM.2013.25	https://dl.acm.org/doi/10.1109/ICSM.2013.25	Mohd Hafeez Osman, Michel R. V. Chaudron, Peter van der Putten	ICSM '13: Proceedings of the 2013 IEEE International Conference on Software Maintenance	22 September 2013
article	Recovering business processes from business applications	recovering business processes from business applications	10.5555/1655874.1655876	https://dl.acm.org/doi/10.5555/1655874.1655876	Ying Zou, Jin Guo, King Chun Foo, Maokeng Hung	Journal of Software Maintenance and Evolution: Research and Practice (JSME)	01 September 2009
Article	Package Patterns for Visual Architecture Recovery	package patterns for visual architecture recovery	10.5555/1116163.1116403	https://dl.acm.org/doi/10.5555/1116163.1116403	Mircea Lungu, Michele Lanza, Tudor Girba	CSMR '06: Proceedings of the Conference on Software Maintenance and Reengineering	22 March 2006
article	Semantic analysis of program initialisation in genetic programming	semantic analysis of program initialisation in genetic programming	10.1007/s10710-009-9082-5	https://dl.acm.org/doi/10.1007/s10710-009-9082-5	Lawrence Beadle, Colin G. Johnson	Genetic Programming and Evolvable Machines (KLU-GENP)	01 September 2009
research-article	Placement optimization using data context collected during garbage collection	placement optimization using data context collected during garbage collection	10.1145/1542431.1542442	https://dl.acm.org/doi/10.1145/1542431.1542442	Mauricio J. Serrano, Xiaotong Zhuang	ISMM '09: Proceedings of the 2009 international symposium on Memory management	19 June 2009
Article	An Eclipse Plugin for the Automated Reverse-Engineering of Software Programs	an eclipse plugin for the automated reverseengineering of software programs	10.1109/ITNG.2009.73	https://dl.acm.org/doi/10.1109/ITNG.2009.73	Philippe Dugerdil, David Kony, Javier Belmonte	ITNG '09: Proceedings of the 2009 Sixth International Conference on Information Technology: New Generations	27 April 2009
Article	Connecting technical communicators with technical developers	connecting technical communicators with technical developers	10.1145/584955.584992	https://dl.acm.org/doi/10.1145/584955.584992	Kenny Wong, Scott Tilley	SIGDOC '02: Proceedings of the 20th annual international conference on Computer documentation	20 October 2002
Article	An interactive tool for program manipulation	an interactive tool for program manipulation	10.5555/800078.802559	https://dl.acm.org/doi/10.5555/800078.802559	Anne Adam, Paul Gloess, Jean-Pierre Laurent	ICSE '81: Proceedings of the 5th international conference on Software engineering	09 March 1981
research-article	Teaching software engineering with projects	teaching software engineering with projects	10.5555/2663678.2663685	https://dl.acm.org/doi/10.5555/2663678.2663685	Jochen Ludewig, Ivan Bogicevic	EduRex '12: Proceedings of the First International Workshop on Software Engineering Education Based on Real-World Experiences	09 June 2012
Article	Towards the Extraction of Domain Concepts from the Identifiers	towards the extraction of domain concepts from the identifiers	10.1109/WCRE.2011.19	https://dl.acm.org/doi/10.1109/WCRE.2011.19	Surafel Lemma Abebe, Paolo Tonella	WCRE '11: Proceedings of the 2011 18th Working Conference on Reverse Engineering	17 October 2011
article	Expectation-based, inference-based, and bottom-up software comprehension: Research Articles	expectationbased, inferencebased, and bottomup software comprehension research articles	10.5555/1075040.1075044	https://dl.acm.org/doi/10.5555/1075040.1075044	Michael P. O'Brien, Jim Buckley, Teresa M. Shaft	Journal of Software Maintenance and Evolution: Research and Practice (JSME)	01 November 2004
Article	Improving Feature Location by Enhancing Source Code with Stereotypes	improving feature location by enhancing source code with stereotypes	10.1109/ICSM.2013.41	https://dl.acm.org/doi/10.1109/ICSM.2013.41	Nouh Alhindawi, Natalia Dragan, Michael L. Collard, Jonathan I. Maletic	ICSM '13: Proceedings of the 2013 IEEE International Conference on Software Maintenance	22 September 2013
poster	Toward an understanding of the relationship between the identifier and comment lexicons	toward an understanding of the relationship between the identifier and comment lexicons	10.1145/2016039.2016138	https://dl.acm.org/doi/10.1145/2016039.2016138	Brian P. Eddy, Nicholas A. Kraft	ACM-SE '11: Proceedings of the 49th Annual Southeast Regional Conference	24 March 2011
research-article	The SEXTANT Software Exploration Tool	the sextant software exploration tool	10.1109/TSE.2006.94	https://dl.acm.org/doi/10.1109/TSE.2006.94	Thorsten Schafer, Michael Eichberg, Michael Haupt, Mira Mezini	IEEE Transactions on Software Engineering (ISOF)	01 September 2006
research-article	The Symbolic Execution Debugger (SED): a platform for interactive symbolic execution, debugging, verification and more	the symbolic execution debugger (sed) a platform for interactive symbolic execution, debugging, verification and more	10.1007/s10009-018-0490-9	https://dl.acm.org/doi/10.1007/s10009-018-0490-9	Martin Hentschel, Richard Bubel, Reiner Hähnle	International Journal on Software Tools for Technology Transfer (STTT) (STTT)	01 October 2019
research-article	IoT end user programming models	iot end user programming models	10.1109/SERP4IoT.2019.00008	https://dl.acm.org/doi/10.1109/SERP4IoT.2019.00008	Steven P. Reiss	SERP4IoT '19: Proceedings of the 1st International Workshop on Software Engineering Research & Practices for the Internet of Things	27 May 2019
article	Using visualization for architectural localization and extraction	using visualization for architectural localization and extraction	10.1016/S0167-6423%2899%2900038-6	https://dl.acm.org/doi/10.1016/S0167-6423%2899%2900038-6	Dean Jerding, Spencer Rugaber	Science of Computer Programming (SCPR)	01 March 2000
Article	Using Visualization for Architectural Localization and Extraction	using visualization for architectural localization and extraction	10.5555/832304.836988	https://dl.acm.org/doi/10.5555/832304.836988	Dean Jerding, Spencer Rugaber	WCRE '97: Proceedings of the Fourth Working Conference on Reverse Engineering (WCRE '97)	06 October 1997
article	High-Level Views of Distributed Executions: Convex Abstract Events	highlevel views of distributed executions convex abstract events	10.1023/A%3A1008685117587	https://dl.acm.org/doi/10.1023/A%3A1008685117587	Thomas Kunz	Automated Software Engineering (KLU-AUSE)	01 April 1997
article	Reverse engineering web applications: the WARE approach	reverse engineering web applications the ware approach	10.1002/smr.281	https://dl.acm.org/doi/10.1002/smr.281	Giuseppe Antonio Di Lucca, Anna Rita Fasolino, Porfirio Tramontana	Journal of Software Maintenance and Evolution: Research and Practice (JSME)	01 January 2004
article	Isolating faults in complex COTS-based systems	isolating faults in complex cotsbased systems	10.5555/316149.316153	https://dl.acm.org/doi/10.5555/316149.316153	Scott A. Hissam, David Carney	Journal of Software Maintenance: Research and Practice (JSWM)	01 May 1999
Article	Structure Elicitation in Database Reverse Engineering	structure elicitation in database reverse engineering	10.5555/525595.836969	https://dl.acm.org/doi/10.5555/525595.836969	Jean-Luc Hainaut, Jean Henrard, Didier Roland, Vincent Englebert, Jean-Marc Hick	WCRE '96: Proceedings of the 3rd Working Conference on Reverse Engineering (WCRE '96)	08 November 1996
Article	A Taxonomy of Interactions Introduced by Aspects	a taxonomy of interactions introduced by aspects	10.1109/COMPSAC.2008.159	https://dl.acm.org/doi/10.1109/COMPSAC.2008.159	Mario Luca Bernardi, Giuseppe Antonio Di Lucca	COMPSAC '08: Proceedings of the 2008 32nd Annual IEEE International Computer Software and Applications Conference	28 July 2008
short-paper	Detecting Code Comment Inconsistency using Siamese Recurrent Network	detecting code comment inconsistency using siamese recurrent network	10.1145/3387904.3389286	https://dl.acm.org/doi/10.1145/3387904.3389286	Fazle Rabbi, Md Saeed Siddik	ICPC '20: Proceedings of the 28th International Conference on Program Comprehension	13 July 2020
Article	Analysis and Remodeling of the DirtyCOW Vulnerability by Debugging and Abstraction	analysis and remodeling of the dirtycow vulnerability by debugging and abstraction	10.1007/978-3-030-41418-4_1	https://dl.acm.org/doi/10.1007/978-3-030-41418-4_1	Yanjun Wen, Ji Wang	Structured Object-Oriented Formal Language and Method	05 November 2019
research-article	Android repository mining for detecting publicly accessible functions missing permission checks	android repository mining for detecting publicly accessible functions missing permission checks	10.1109/ICPC.2017.14	https://dl.acm.org/doi/10.1109/ICPC.2017.14	Hoang H. Nguyen, Lingxiao Jiang, Tho Quan	ICPC '17: Proceedings of the 25th International Conference on Program Comprehension	20 May 2017
Article	RegViz: visual debugging of regular expressions	regviz visual debugging of regular expressions	10.1145/2591062.2591111	https://dl.acm.org/doi/10.1145/2591062.2591111	Fabian Beck, Stefan Gulan, Benjamin Biegel, Sebastian Baltes, Daniel Weiskopf	ICSE Companion 2014: Companion Proceedings of the 36th International Conference on Software Engineering	31 May 2014
research-article	A dynamic analysis technique to extract symptoms that suggest side effects in framework applications	a dynamic analysis technique to extract symptoms that suggest side effects in framework applications	10.1145/2554850.2555123	https://dl.acm.org/doi/10.1145/2554850.2555123	Izuru Kume, Naoya Nitta, Masahide Nakamura, Etsuya Shibayama	SAC '14: Proceedings of the 29th Annual ACM Symposium on Applied Computing	24 March 2014
article	The DynaRIA tool for the comprehension of Ajax web applications by dynamic analysis	the dynaria tool for the comprehension of ajax web applications by dynamic analysis	10.1007/s11334-013-0207-x	https://dl.acm.org/doi/10.1007/s11334-013-0207-x	Domenico Amalfitano, Anna Rita Fasolino, Armando Polcaro, Porfirio Tramontana	Innovations in Systems and Software Engineering (SPISSE)	01 March 2014
article	Stratified sampling of execution traces: Execution phases serving as strata	stratified sampling of execution traces execution phases serving as strata	10.1016/j.scico.2012.11.002	https://dl.acm.org/doi/10.1016/j.scico.2012.11.002	Heidar Pirzadeh, Sara Shanian, Abdelwahab Hamou-Lhadj, Luay Alawneh, Arya Shafiee	Science of Computer Programming (SCPR)	01 August 2013
research-article	Automatic recognition of students' sorting algorithm implementations in a data structures and algorithms course	automatic recognition of students sorting algorithm implementations in a data structures and algorithms course	10.1145/2401796.2401806	https://dl.acm.org/doi/10.1145/2401796.2401806	Ahmad Taherkhani, Ari Korhonen, Lauri Malmi	Koli Calling '12: Proceedings of the 12th Koli Calling International Conference on Computing Education Research	15 November 2012
Article	The Concept of Stratified Sampling of Execution Traces	the concept of stratified sampling of execution traces	10.1109/ICPC.2011.17	https://dl.acm.org/doi/10.1109/ICPC.2011.17	Heidar Pirzadeh, Sara Shanian, Abdelwahab Hamou-Lhadj, Ali Mehrabian	ICPC '11: Proceedings of the 2011 IEEE 19th International Conference on Program Comprehension	22 June 2011
Article	Architecture Recovery Using Latent Semantic Indexing and K-Means: An Empirical Evaluation	architecture recovery using latent semantic indexing and kmeans an empirical evaluation	10.1109/SEFM.2010.19	https://dl.acm.org/doi/10.1109/SEFM.2010.19	Michele Risi, Giuseppe Scanniello, Genoveffa Tortora	SEFM '10: Proceedings of the 2010 8th IEEE International Conference on Software Engineering and Formal Methods	13 September 2010
article	Agile Parsing in TXL	agile parsing in txl	10.1023/A%3A1025801405075	https://dl.acm.org/doi/10.1023/A%3A1025801405075	Thomas R. Dean, James R. Cordy, Andrew J. Malton, Kevin A. Schneider	Automated Software Engineering (KLU-AUSE)	01 October 2003
Article	Does a programmer's activity indicate knowledge of code?	does a programmers activity indicate knowledge of code	10.1145/1287624.1287673	https://dl.acm.org/doi/10.1145/1287624.1287673	Thomas Fritz, Gail C. Murphy, Emily Hill	ESEC-FSE '07: Proceedings of the the 6th joint meeting of the European software engineering conference and the ACM SIGSOFT symposium on The foundations of software engineering	07 September 2007
research-article	Naming Practices in Java Projects: An Empirical Study	naming practices in java projects an empirical study	10.1145/3493244.3493258	https://dl.acm.org/doi/10.1145/3493244.3493258	Remo Gresta, Vinicius Durelli, Elder Cirilo	SBQS '21: XX Brazilian Symposium on Software Quality	08 November 2021
research-article	CoRA: decomposing and describing tangled code changes for reviewer	cora decomposing and describing tangled code changes for reviewer	10.1109/ASE.2019.00101	https://dl.acm.org/doi/10.1109/ASE.2019.00101	Min Wang, Zeqi Lin, Yanzhen Zou, Bing Xie	ASE '19: Proceedings of the 34th IEEE/ACM International Conference on Automated Software Engineering	10 November 2019
research-article	Quantifying the similiarities between source code lexicons	quantifying the similiarities between source code lexicons	10.1145/2016039.2016067	https://dl.acm.org/doi/10.1145/2016039.2016067	Lauren R. Biggers, Nicholas A. Kraft	ACM-SE '11: Proceedings of the 49th Annual Southeast Regional Conference	24 March 2011
article	An experiment on the role of graphical elements in architecture visualization	an experiment on the role of graphical elements in architecture visualization	10.1007/s10664-008-9069-5	https://dl.acm.org/doi/10.1007/s10664-008-9069-5	Jens Knodel, Dirk Muthig, Matthias Naab	Empirical Software Engineering (KLU-EMSE)	01 December 2008
Article	Measuring the Complexity of Traces Using Shannon Entropy	measuring the complexity of traces using shannon entropy	10.1109/ITNG.2008.169	https://dl.acm.org/doi/10.1109/ITNG.2008.169	Abdelwahab Hamou-Lhadj	ITNG '08: Proceedings of the Fifth International Conference on Information Technology: New Generations	07 April 2008
Article	Towards understanding programs through wear-based filtering	towards understanding programs through wearbased filtering	10.1145/1056018.1056044	https://dl.acm.org/doi/10.1145/1056018.1056044	Robert DeLine, Amir Khella, Mary Czerwinski, George Robertson	SoftVis '05: Proceedings of the 2005 ACM symposium on Software visualization	14 May 2005
Article	Goal-driven combination of software comprehension approaches for component based development	goaldriven combination of software comprehension approaches for component based development	10.1145/375212.375264	https://dl.acm.org/doi/10.1145/375212.375264	Roland T. Mittermeir, Andreas Bollin, Heinz Pozewaunig, Dominik Rauner-Reithmayer	SSR '01: Proceedings of the 2001 symposium on Software reusability: putting software reuse in context	01 May 2001
research-article	Supporting Readability by Comprehending the Hierarchical Abstraction of a Software Project	supporting readability by comprehending the hierarchical abstraction of a software project	10.1145/3511430.3511441	https://dl.acm.org/doi/10.1145/3511430.3511441	Avijit Bhattacharjee, Banani Roy, Kevin Schneider	ISEC 2022: 15th Innovations in Software Engineering Conference	24 February 2022
research-article	Analyzing the structure of Java software systems by weighted K-core decomposition	analyzing the structure of java software systems by weighted kcore decomposition	10.1016/j.future.2017.09.039	https://dl.acm.org/doi/10.1016/j.future.2017.09.039	Weifeng Pan, Bing Li, Jing Liu, Yutao Ma, Bo Hu	Future Generation Computer Systems (FGCS)	01 June 2018
article	Configuring latent Dirichlet allocation based feature location	configuring latent dirichlet allocation based feature location	10.1007/s10664-012-9224-x	https://dl.acm.org/doi/10.1007/s10664-012-9224-x	Lauren R. Biggers, Cecylia Bocovich, Riley Capshaw, Brian P. Eddy, Letha H. Etzkorn, Nicholas A. Kraft	Empirical Software Engineering (KLU-EMSE)	01 June 2014
Article	Towards behavioral reflexion models	towards behavioral reflexion models	10.5555/1802408.1802434	https://dl.acm.org/doi/10.5555/1802408.1802434	Christopher Ackermann, Mikael Lindvall, Rance Cleaveland	ISSRE'09: Proceedings of the 20th IEEE international conference on software reliability engineering	16 November 2009
research-article	Understanding features in SOA: some experiences from distributed systems	understanding features in soa some experiences from distributed systems	10.1145/1370916.1370931	https://dl.acm.org/doi/10.1145/1370916.1370931	Norman Wilde, Sharon Simmons, Michael Pressel, Joseph Vandeville	SDSOA '08: Proceedings of the 2nd international workshop on Systems development in SOA environments	11 May 2008
article	SNIAFL: Towards a static noninteractive approach to feature location	sniafl towards a static noninteractive approach to feature location	10.1145/1131421.1131424	https://dl.acm.org/doi/10.1145/1131421.1131424	Wei Zhao, Lu Zhang, Yin Liu, Jiasu Sun, Fuqing Yang	ACM Transactions on Software Engineering and Methodology (TOSEM)	01 April 2006
research-article	Software Reflexion Models: Bridging the Gap between Design and Implementation	software reflexion models bridging the gap between design and implementation	10.1109/32.917525	https://dl.acm.org/doi/10.1109/32.917525	Gail C. Murphy, David Notkin, Kevin J. Sullivan	IEEE Transactions on Software Engineering (ISOF)	01 April 2001
abstract	Languages & Visualizations to Enable Effective End User Programming	languages & visualizations to enable effective end user programming	10.1145/3290607.3299067	https://dl.acm.org/doi/10.1145/3290607.3299067	Jane Hoffswell	CHI EA '19: Extended Abstracts of the 2019 CHI Conference on Human Factors in Computing Systems	02 May 2019
Article	Lightweight Impact Analysis using Island Grammars	lightweight impact analysis using island grammars	10.5555/580131.857007	https://dl.acm.org/doi/10.5555/580131.857007	Leon Moonen	IWPC '02: Proceedings of the 10th International Workshop on Program Comprehension	27 June 2002
research-article	Visual behavior on problem comprehension among novice programmers with prior knowledge	visual behavior on problem comprehension among novice programmers with prior knowledge	10.1016/j.procs.2021.09.003	https://dl.acm.org/doi/10.1016/j.procs.2021.09.003	Zubair Ahsan, Unaizah Obaidellah	Procedia Computer Science (PROCS)	01 January 2021
research-article	An Exploration of Novice Programmers' Comprehension of Conditionals in Imperative and Functional Programming	an exploration of novice programmers comprehension of conditionals in imperative and functional programming	10.1145/3304221.3319746	https://dl.acm.org/doi/10.1145/3304221.3319746	Claudio Mirolo, Cruz Izu	ITiCSE '19: Proceedings of the 2019 ACM Conference on Innovation and Technology in Computer Science Education	02 July 2019
research-article	Understanding JavaScript Event-Based Interactions with Clematis	understanding javascript eventbased interactions with clematis	10.1145/2876441	https://dl.acm.org/doi/10.1145/2876441	Saba Alimadadi, Sheldon Sequeira, Ali Mesbah, Karthik Pattabiraman	ACM Transactions on Software Engineering and Methodology (TOSEM)	16 May 2016
research-article	Asking and Answering Questions during a Programming Change Task in Pharo Language	asking and answering questions during a programming change task in pharo language	10.1145/2688204.2688212	https://dl.acm.org/doi/10.1145/2688204.2688212	Juraj Kubelka, Alexandre Bergel, Romain Robbes	PLATEAU '14: Proceedings of the 5th Workshop on Evaluation and Usability of Programming Languages and Tools	21 October 2014
research-article	Automatic recognition of design motifs using semantic conditions	automatic recognition of design motifs using semantic conditions	10.1145/2480362.2480564	https://dl.acm.org/doi/10.1145/2480362.2480564	Awny Alnusair, Tian Zhao, Gongjun Yan	SAC '13: Proceedings of the 28th Annual ACM Symposium on Applied Computing	18 March 2013
Article	Immediacy through Interactivity: Online Analysis of Run-time Behavior	immediacy through interactivity online analysis of runtime behavior	10.1109/WCRE.2010.17	https://dl.acm.org/doi/10.1109/WCRE.2010.17	Michael Perscheid, Bastian Steinert, Robert Hirschfeld, Felix Geller, Michael Haupt	WCRE '10: Proceedings of the 2010 17th Working Conference on Reverse Engineering	13 October 2010
Article	Towards Behavioral Reflexion Models	towards behavioral reflexion models	10.1109/ISSRE.2009.27	https://dl.acm.org/doi/10.1109/ISSRE.2009.27	Christopher Ackermann, Mikael Lindvall, Rance Cleaveland	ISSRE '09: Proceedings of the 2009 20th International Symposium on Software Reliability Engineering	16 November 2009
Article	Autumn Leaves: Curing the Window Plague in IDEs	autumn leaves curing the window plague in ides	10.1109/WCRE.2009.18	https://dl.acm.org/doi/10.1109/WCRE.2009.18	David Roethlisberger, Oscar Nierstrasz, Stephane Ducasse	WCRE '09: Proceedings of the 2009 16th Working Conference on Reverse Engineering	13 October 2009
Article	Evaluating Software Inspection Cognition Levels Using Bloom's Taxonomy	evaluating software inspection cognition levels using blooms taxonomy	10.1109/CSEET.2009.15	https://dl.acm.org/doi/10.1109/CSEET.2009.15	David A. McMeekin, Brian R. von Konsky, Elizabeth Chang, David J. A. Cooper	CSEET '09: Proceedings of the 2009 22nd Conference on Software Engineering Education and Training	17 February 2009
Article	Towards empirically validated software architecture visualization	towards empirically validated software architecture visualization	10.1145/1148493.1148537	https://dl.acm.org/doi/10.1145/1148493.1148537	Jens Knodel, Dirk Muthig, Matthias Naab, Dirk Zeckzer	SoftVis '06: Proceedings of the 2006 ACM symposium on Software visualization	04 September 2006
Article	Predicate-Based Dynamic Slicing of Message Passing Programs	predicatebased dynamic slicing of message passing programs	10.5555/827253.827728	https://dl.acm.org/doi/10.5555/827253.827728	Juergen Rilling, Hon F. Li, Dhrubajyoti Goswami	SCAM '02: Proceedings of the Second IEEE International Workshop on Source Code Analysis and Manipulation	01 October 2002
Article	Program Learning Using Static Information and Dynamic Program Execution Slices	program learning using static information and dynamic program execution slices	10.1109/WAINA.2010.15	https://dl.acm.org/doi/10.1109/WAINA.2010.15	Jun Sawamoto, Eiji Sugino, Norihisa Segawa, Yuji Wada	WAINA '10: Proceedings of the 2010 IEEE 24th International Conference on Advanced Information Networking and Applications Workshops	20 April 2010
Article	Feature Identification: A Novel Approach and a Case Study	feature identification a novel approach and a case study	10.1109/ICSM.2005.48	https://dl.acm.org/doi/10.1109/ICSM.2005.48	Giuliano Antoniol, Yann-Gael Gueheneuc	ICSM '05: Proceedings of the 21st IEEE International Conference on Software Maintenance	25 September 2005
article	Design-code traceability recovery: selecting the basic linkage properties	designcode traceability recovery selecting the basic linkage properties	10.1016/S0167-6423%2801%2900016-8	https://dl.acm.org/doi/10.1016/S0167-6423%2801%2900016-8	G. Antoniol, B. Caprile, A. Potrich, P. Tonella	Science of Computer Programming (SCPR)	01 July 2001
Article	Types and Concept Analysis for Legacy Systems	types and concept analysis for legacy systems	10.5555/518049.856971	https://dl.acm.org/doi/10.5555/518049.856971	Tobias Kuipers, Leon Moonen	IWPC '00: Proceedings of the 8th International Workshop on Program Comprehension	10 June 2000
research-article	Experience Report: Thinkathon -- Countering an "I Got It Working" Mentality with Pencil-and-Paper Exercises	experience report thinkathon countering an i got it working mentality with pencilandpaper exercises	10.1145/3304221.3319785	https://dl.acm.org/doi/10.1145/3304221.3319785	Quintin Cutts, Matthew Barr, Mireilla Bikanga Ada, Peter Donaldson, Steve Draper, Jack Parkinson, Jeremy Singer, Lovisa Sundin	ITiCSE '19: Proceedings of the 2019 ACM Conference on Innovation and Technology in Computer Science Education	02 July 2019
research-article	Attention in software maintenance: an eye tracking study	attention in software maintenance an eye tracking study	10.1109/EMIP.2019.00009	https://dl.acm.org/doi/10.1109/EMIP.2019.00009	Maike Ahrens, Kurt Schneider, Melanie Busch	EMIP '19: Proceedings of the 6th International Workshop on Eye Movements in Programming	27 May 2019
abstract	Mining error-handling specifications for systems software	mining errorhandling specifications for systems software	10.1145/3236024.3275440	https://dl.acm.org/doi/10.1145/3236024.3275440	Daniel DeFreez	ESEC/FSE 2018: Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering	26 October 2018
research-article	Path-based function embedding and its application to error-handling specification mining	pathbased function embedding and its application to errorhandling specification mining	10.1145/3236024.3236059	https://dl.acm.org/doi/10.1145/3236024.3236059	Daniel DeFreez, Aditya V. Thakur, Cindy Rubio-González	ESEC/FSE 2018: Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering	26 October 2018
Article	On the Effect of the Query in IR-based Concept Location	on the effect of the query in irbased concept location	10.1109/ICPC.2011.48	https://dl.acm.org/doi/10.1109/ICPC.2011.48	Sonia Haiduc, Andrian Marcus	ICPC '11: Proceedings of the 2011 IEEE 19th International Conference on Program Comprehension	22 June 2011
Article	Visualizing Memory Graphs	visualizing memory graphs	10.5555/647382.724787	https://dl.acm.org/doi/10.5555/647382.724787	Thomas Zimmermann, Andreas Zeller	Revised Lectures on Software Visualization, International Seminar	20 May 2001
extended-abstract	Tackling knowledge needs during software evolution	tackling knowledge needs during software evolution	10.1145/3338906.3342505	https://dl.acm.org/doi/10.1145/3338906.3342505	Jacob Krüger	ESEC/FSE 2019: Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering	12 August 2019
research-article	DSI: an evidence-based approach to identify dynamic data structures in C programs	dsi an evidencebased approach to identify dynamic data structures in c programs	10.1145/2931037.2931071	https://dl.acm.org/doi/10.1145/2931037.2931071	David H. White, Thomas Rupprecht, Gerald Lüttgen	ISSTA 2016: Proceedings of the 25th International Symposium on Software Testing and Analysis	18 July 2016
