type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,24104,D J Gilmore,,,,Structural Visibility and Program Comprehension,527--545,,19,,,,,,,,,1986,,"Proceedings of the Second Conference of the British Computer Society, Human Computer Interaction Specialist Group on People and Computers: Designing for Usability",,,0-521-33259-1,"York, United Kingdom",Cambridge University Press,"New York, NY, USA"
article,69821,O. E. Khalil and J. D. Clark,,,,The Influence of Programmers' Cognitive Complexity on Program Comprehension and Modification,219--236,,18,,10.1016/0020-7373(89)90028-X,Int. J. Man-Mach. Stud.,Aug. 1989,31,2,,September,1989,0020-7373,,,,,,Academic Press Ltd.,"London, UK, UK"
article,1136181,Cristina  Marinescu,,,,Identification of Design Roles for the Assessment of Design Quality in Enterprise Applications,169--180,,12,,10.1109/ICPC.2006.27,,,,,,,2006,,Proceedings of the 14th IEEE International Conference on Program Comprehension,ICPC '06,,0-7695-2601-2,,IEEE Computer Society,"Washington, DC, USA"
article,1006817,,,,,Tool-Supported Customization of UML Class Diagrams for Learning Complex System Models,24--,,,,,,,,,,,2004,,Proceedings of the 12th IEEE International Workshop on Program Comprehension,IWPC '04,,0-7695-2149-5,,IEEE Computer Society,"Washington, DC, USA"
article,1006834,,,,,Structural Evolution of an Open Source System: A Case Study,172--,,,,,,,,,,,2004,,Proceedings of the 12th IEEE International Workshop on Program Comprehension,IWPC '04,,0-7695-2149-5,,IEEE Computer Society,"Washington, DC, USA"
article,380558,Cristina  Cifuentes and Mike  Van Emmerik,,,,Recovery of Jump Table Case Statements from Binary Code,171--188,,18,"binary analysis, binary translation, jump tables, slicing",10.1016/S0167-6423(01)00014-4,Sci. Comput. Program.,July 2001,40,2-3,,July,2001,0167-6423,,,,,,"Elsevier North-Holland, Inc.","Amsterdam, The Netherlands, The Netherlands"
article,839128,Yoshiyuki  Deguchi and Manabu  Nakamura and Setsuko  Otsuki,,,,A Study on Assisting in Prolog Program Comprehension by Using Stepwise Execution and Stepwise Comparison,106--,,,,,,,,,,,2002,,Proceedings of the International Conference on Computers in Education,ICCE '02,,0-7695-1509-6,,IEEE Computer Society,"Washington, DC, USA"
article,857058,Edward B. Duffy and J. Paul Gibson and Brian A. Malloy,,,,Applying the Decorator Pattern for Profiling Object-Oriented Software,84--,,,,,,,,,,,2003,,Proceedings of the 11th IEEE International Workshop on Program Comprehension,IWPC '03,,0-7695-1883-4,,IEEE Computer Society,"Washington, DC, USA"
article,1438604,Abdulkareem  Alali and Huzefa  Kagdi and Jonathan I. Maletic,,,,What's a Typical Commit? A Characterization of Open Source Software Repositories,182--191,,10,"mining software repositories, commit analysis",10.1109/ICPC.2008.24,,,,,,,2008,,Proceedings of the 2008 The 16th IEEE International Conference on Program Comprehension,ICPC '08,,978-0-7695-3176-2,,IEEE Computer Society,"Washington, DC, USA"
article,1847951,Liliane  Barbour and Hao  Yuan and Ying  Zou,,,,A Technique for Just-in-Time Clone Detection in Large Scale Systems,76--79,,4,,10.1109/ICPC.2010.13,,,,,,,2010,,Proceedings of the 2010 IEEE 18th International Conference on Program Comprehension,ICPC '10,,978-0-7695-4113-6,,IEEE Computer Society,"Washington, DC, USA"
article,837858,Michael  Doorley and Anthony  Cahill,,,,Experiences in Automatic Leveling of Data Flow Diagrams,218--,,,"Data Flow Diagram, levelling, diagram layout, readability, architectural views, structural abstraction, cohesion, redocumentation",,,,,,,,1996,,Proceedings of the 4th International Workshop on Program Comprehension (WPC '96),WPC '96,,0-8186-7283-8,,IEEE Computer Society,"Washington, DC, USA"
article,3196368,Joshua D Scarsbrook and Ryan K L Ko and Bill  Rogers and David  Bainbridge,,,,MetropolJS: Visualizing and Debugging Large-scale Javascript Program Structure with Treemaps,389--392,,4,"debugging, javascript, treemaps",10.1145/3196321.3196368,,,,,,,2018,,Proceedings of the 26th Conference on Program Comprehension,ICPC '18,,978-1-4503-5714-2,"Gothenburg, Sweden",ACM,"New York, NY, USA"
article,1136194,Shimin  Li and Ladan  Tahvildari,,,,JComp: A Reuse-Driven Componentization Framework for Java Applications,264--267,,4,,10.1109/ICPC.2006.31,,,,,,,2006,,Proceedings of the 14th IEEE International Conference on Program Comprehension,ICPC '06,,0-7695-2601-2,,IEEE Computer Society,"Washington, DC, USA"
article,858228,J.  Singer and T.  Lethbridge,,,,Studying Work Practices to Assist Tool Design in Software Engineering,173--,,,,,,,,,,,1998,,Proceedings of the 6th International Workshop on Program Comprehension,IWPC '98,,0-8186-8560-3,,IEEE Computer Society,"Washington, DC, USA"
article,858215,S. S. Som&#233; and T. C. Lethbridge,,,,Parsing Minimization when Extracting Information from Code in the Presence of Conditional Compilation,118--,,,,,,,,,,,1998,,Proceedings of the 6th International Workshop on Program Comprehension,IWPC '98,,0-8186-8560-3,,IEEE Computer Society,"Washington, DC, USA"
article,2597808,Shrinath  Gupta and Himanshu Kumar  Singh,,,,A Semiautomated Method for Classifying Program Analysis Rules into a Quality Model,266--270,,5,"Classification, Code Analysis, Program Analysis, Quality Model, Quality Requirements, Software Quality",10.1145/2597008.2597808,,,,,,,2014,,Proceedings of the 22Nd International Conference on Program Comprehension,ICPC 2014,,978-1-4503-2879-1,"Hyderabad, India",ACM,"New York, NY, USA"
article,2487012,Latifa  Guerrouj,,,,Normalizing Source Code Vocabulary to Support Program Comprehension and Software Quality,1385--1388,,4,,,,,,,,,2013,,Proceedings of the 2013 International Conference on Software Engineering,ICSE '13,,978-1-4673-3076-3,"San Francisco, CA, USA",IEEE Press,"Piscataway, NJ, USA"
article,857015,Tomonori  Takada and Fumiaki  Ohata and Katsuro  Inoue,,,,Dependence-Cache Slicing: A Program Slicing Method Using Lightweight Dynamic Information,169--,,,,,,,,,,,2002,,Proceedings of the 10th International Workshop on Program Comprehension,IWPC '02,,0-7695-1495-2,,IEEE Computer Society,"Washington, DC, USA"
article,2820298,Benedikt  Hauptmann and Elmar  Juergens and Volkmar  Woinke,,,,Generating Refactoring Proposals to Remove Clones from Automated System Tests,115--124,,10,"automated testing, refactoring, test clones",,,,,,,,2015,,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,ICPC '15,,,"Florence, Italy",IEEE Press,"Piscataway, NJ, USA"
article,881302,,,,,"Systems Evolution, Components and Services: Understanding the New Software Environment",3--,,,,,,,,,,,2001,,Proceedings of the 9th International Workshop on Program Comprehension,IWPC '01,,,,IEEE Computer Society,"Washington, DC, USA"
article,3339098,Tsuyoshi  Mizouchi and Kazumasa  Shimari and Takashi  Ishio and Katsuro  Inoue,,,,PADLA: A Dynamic Log Level Adapter Using Online Phase Detection,135--138,,4,"Log4j, dynamic analysis, log level, performance anomaly, phase detection",10.1109/ICPC.2019.00029,,,,,,,2019,,Proceedings of the 27th International Conference on Program Comprehension,ICPC '19,,,"Montreal, Quebec, Canada",IEEE Press,"Piscataway, NJ, USA"
article,2863012,Tien-Duy B. Le and Mario  Linares-Vasquez and David  Lo and Denys  Poshyvanyk,,,,RCLinker: Automated Linking of Issue Reports and Commits Leveraging Rich Contextual Information,36--47,,12,"Recovering Missing Links, Classification, Feature Extraction, ChangeScribe",10.1109/ICPC.2015.13,,,,,,,2015,,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,ICPC '15,,978-1-4673-8159-8,,IEEE Computer Society,"Washington, DC, USA"
article,2863042,Amir M. Saeidi and Jurriaan  Hage and Ravi  Khadka and Slinger  Jansen,,,,ITMViz: Interactive Topic Modeling for Source Code Analysis,295--298,,4,"Topic Modeling, LDA, Program Analysis",10.1109/ICPC.2015.44,,,,,,,2015,,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,ICPC '15,,978-1-4673-8159-8,,IEEE Computer Society,"Washington, DC, USA"
article,3035185,Chanchal K.  Roy and Andrew  Begel and Leon  Moonen,,,,Guest Editor's Introduction to the Special Issue on Program Comprehension ICPC 2014,838--839,,2,,10.1002/smr.1836,J. Softw. Evol. Process,October 2016,28,10,,October,2016,2047-7473,,,,,,"John Wiley &amp; Sons, Inc.","New York, NY, USA"
article,2597155,Mario  Linares-V&#225;squez and Gabriele  Bavota and Massimiliano  Di Penta and Rocco  Oliveto and Denys  Poshyvanyk,,,,How Do API Changes Trigger Stack Overflow Discussions? A Study on the Android SDK,83--94,,12,"API changes, Android, Social media, StackOverflow",10.1145/2597008.2597155,,,,,,,2014,,Proceedings of the 22Nd International Conference on Program Comprehension,ICPC 2014,,978-1-4503-2879-1,"Hyderabad, India",ACM,"New York, NY, USA"
article,2820312,Simon  Butler and Michel  Wermelinger and Yijun  Yu,,,,A Survey of the Forms of Java Reference Names,196--206,,11,,,,,,,,,2015,,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,ICPC '15,,,"Florence, Italy",IEEE Press,"Piscataway, NJ, USA"
article,1136177,Denys  Poshyvanyk and Andrian  Marcus and Vaclav  Rajlich and Yann-Gael  Gueheneuc and Giuliano  Antoniol,,,,Combining Probabilistic Ranking and Latent Semantic Indexing for Feature Identification,137--148,,12,,10.1109/ICPC.2006.17,,,,,,,2006,,Proceedings of the 14th IEEE International Conference on Program Comprehension,ICPC '06,,0-7695-2601-2,,IEEE Computer Society,"Washington, DC, USA"
article,1438594,Andrea De Lucia and Carmine  Gravino and Rocco  Oliveto and Genoveffa  Tortora,,,,Data Model Comprehension: An Empirical Comparison of ER and UML Class Diagrams,93--102,,10,"Empirical Studies, Data Models, UML class diagrams, ER diagrams, Comprehension",10.1109/ICPC.2008.26,,,,,,,2008,,Proceedings of the 2008 The 16th IEEE International Conference on Program Comprehension,ICPC '08,,978-0-7695-3176-2,,IEEE Computer Society,"Washington, DC, USA"
article,2057242,Manishankar  Mondal and Md. Saidur Rahman and Ripon K. Saha and Chanchal K. Roy and Jens  Krinke and Kevin A. Schneider,,,,An Empirical Study of the Impacts of Clones in Software Maintenance,242--245,,4,"Clone Evolution, Code Stability, Experiment",10.1109/ICPC.2011.14,,,,,,,2011,,Proceedings of the 2011 IEEE 19th International Conference on Program Comprehension,ICPC '11,,978-0-7695-4398-7,,IEEE Computer Society,"Washington, DC, USA"
article,3196338,Cong  Liu and Boudewijn  van Dongen and Nour  Assy and Wil M. P van der Aalst,,,,Component Interface Identification and Behavioral Model Discovery from Software Execution Data,97--107,,11,"empirical evaluation, interface behavioral model, interface identification, process mining, software execution data",10.1145/3196321.3196338,,,,,,,2018,,Proceedings of the 26th Conference on Program Comprehension,ICPC '18,,978-1-4503-5714-2,"Gothenburg, Sweden",ACM,"New York, NY, USA"
article,3339112,Gina R. Bai and Brian  Clee and Nischal  Shrestha and Carl  Chapman and Cimone  Wright and Kathryn T. Stolee,,,,Exploring Tools and Strategies Used During Regular Expression Composition Tasks,197--208,,12,"exploratory study, personas, problem solving strategies, regular expressions",10.1109/ICPC.2019.00039,,,,,,,2019,,Proceedings of the 27th International Conference on Program Comprehension,ICPC '19,,,"Montreal, Quebec, Canada",IEEE Press,"Piscataway, NJ, USA"
article,181033,Barbee E.  Teasley,,,,The Effects of Naming Style and Expertise on Program Comprehension,757--770,,14,,10.1006/ijhc.1994.1036,Int. J. Hum.-Comput. Stud.,May 1994,40,5,,May,1994,1071-5819,,,,,,"Academic Press, Inc.","Duluth, MN, USA"
article,1006839,,,,,On Migrating a Legacy Application to the Palm Platform,231--,,,,,,,,,,,2004,,Proceedings of the 12th IEEE International Workshop on Program Comprehension,IWPC '04,,0-7695-2149-5,,IEEE Computer Society,"Washington, DC, USA"
article,1271373,Rodrigo  Vivanco,,,,Use of a Genetic Algorithm to Identify Source Code Metrics Which Improves Cognitive Complexity Predictive Models,297--300,,4,,10.1109/ICPC.2007.40,,,,,,,2007,,Proceedings of the 15th IEEE International Conference on Program Comprehension,ICPC '07,,0-7695-2860-0,,IEEE Computer Society,"Washington, DC, USA"
article,1006830,,,,,Towards a Technique for Reverse Engineering Web Transactions from a User's Perspective,142--,,,"conceptual modeling, reverse engineering, transactions, Web site evolution, Web services",,,,,,,,2004,,Proceedings of the 12th IEEE International Workshop on Program Comprehension,IWPC '04,,0-7695-2149-5,,IEEE Computer Society,"Washington, DC, USA"
article,856953,Jean-Francois  Girard and Martin  W&#252;rthner,,,,Evaluating the Accessor Classification Approach to Detect Abstract Data Types,87--,,,"abstract data type identification, reverse engineering, experiment, evaluation",,,,,,,,2000,,Proceedings of the 8th International Workshop on Program Comprehension,IWPC '00,,0-7695-0656-9,,IEEE Computer Society,"Washington, DC, USA"
article,2602159,Zhihua  Wen and Vassilios  Tzerpos,,,,The MoJo Family: A Story About Clustering Evaluation (Invited Talk),2--2,,1,Software Clustering Evaluation,10.1145/2597008.2602159,,,,,,,2014,,Proceedings of the 22Nd International Conference on Program Comprehension,ICPC 2014,,978-1-4503-2879-1,"Hyderabad, India",ACM,"New York, NY, USA"
article,2688133,Marwan  Abi-Antoun and Andrew  Giang and Sumukhi  Chandrashekar and Ebrahim  Khalaj,,,,The Eclipse Runtime Perspective for Object-oriented Code Exploration and Program Comprehension,3--8,,6,"object diagrams, object graphs",10.1145/2688130.2688133,,,,,,,2014,,Proceedings of the 2014 Workshop on Eclipse Technology eXchange,ETX '14,,978-1-4503-2530-1,"Portland, Oregon, USA",ACM,"New York, NY, USA"
article,28886,Stanley  Letovsky,,,,Cognitive Processes in Program Comprehension,58--79,,22,,,,,,,,,1986,,Papers Presented at the First Workshop on Empirical Studies of Programmers on Empirical Studies of Programmers,,,0-89391-388-X,"Washington, D.C., USA",Ablex Publishing Corp.,"Norwood, NJ, USA"
article,858206,,,,,Automatic Detection of Interaction Patterns for Parallel Program Analysis and Development,206--,,,,,,,,,,,1998,,Proceedings of the 6th International Workshop on Program Comprehension,IWPC '98,,0-8186-8560-3,,IEEE Computer Society,"Washington, DC, USA"
article,2867046,Ivan De M. Lessa and Glauco De F. Carneiro and Miguel P. Monteiro and Fernando Brito e. Abreu,,,,A Concern Visualization Approach for Improving MATLAB and Octave Program Comprehension,130--139,,10,"MATLAB/Octave, software comprehension, crosscutting concerns, software visualization",10.1109/SBES.2015.19,,,,,,,2015,,Proceedings of the 2015 29th Brazilian Symposium on Software Engineering,SBES '15,,978-1-4673-9272-3,,IEEE Computer Society,"Washington, DC, USA"
article,2057216,Johan  Fabry and Andy  Kellens and Stephane  Ducasse,,,,AspectMaps: A Scalable Visualization of Join Point Shadows,121--130,,10,"aspect-oriented programming, visualization, joinpoint shadow",10.1109/ICPC.2011.11,,,,,,,2011,,Proceedings of the 2011 IEEE 19th International Conference on Program Comprehension,ICPC '11,,978-0-7695-4398-7,,IEEE Computer Society,"Washington, DC, USA"
article,858223,S.  Mancoridis and B. S. Mitchell and C.  Rorres and Y.  Chen and E. R. Gansner,,,,Using Automatic Clustering to Produce High-Level System Organizations of Source Code,45--,,,,,,,,,,,1998,,Proceedings of the 6th International Workshop on Program Comprehension,IWPC '98,,0-8186-8560-3,,IEEE Computer Society,"Washington, DC, USA"
article,858236,Harry M. Sneed and Tomas  Dombovari,,,,"Comprehending a Complex, Distributed, Object-Oriented Software System a Report from the Field",218--,,,"Distributed Systems, Object-orientation, Entity/Relationship Modeling, Reverse Engineering, Source-Code Analysis, Requirement Tracing, System Architecture Documentation, Partial Comprehension",,,,,,,,1999,,Proceedings of the 7th International Workshop on Program Comprehension,IWPC '99,,0-7695-0179-6,,IEEE Computer Society,"Washington, DC, USA"
article,1188969,Benjamin  Chu and Kenny  Wong,,,,"Towards Evidence-supported, Question-directed Collaborative Program Comprehension",,2,,,10.1145/1188966.1188969,,,,,,,2006,,Proceedings of the 2006 Conference of the Center for Advanced Studies on Collaborative Research,CASCON '06,,,"Toronto, Ontario, Canada",IBM Corp.,"Riverton, NJ, USA"
article,1021486,Andrew  Mohan and Nicolas  Gold and Paul  Layzell,,,,"An Approach to Understanding Program Comprehensibility Using Spatial Complexity, Concept Assignment and Typographical Style",530--,,,,,,,,,,,2004,,Proceedings of the 20th IEEE International Conference on Software Maintenance,ICSM '04,,0-7695-2213-0,,IEEE Computer Society,"Washington, DC, USA"
article,1438586,Maksym  Petrenko and V&#225;clav  Rajlich and Radu  Vanciu,,,,Partial Domain Comprehension in Software Evolution and Maintenance,13--22,,10,"Ontology, Ontology Fragments, Comprehension, Concept Location, Partial, Domain, Software Evolution, Software Maintanence",10.1109/ICPC.2008.14,,,,,,,2008,,Proceedings of the 2008 The 16th IEEE International Conference on Program Comprehension,ICPC '08,,978-0-7695-3176-2,,IEEE Computer Society,"Washington, DC, USA"
article,1847960,Maen  Hammad and Michael L. Collard and Jonathan I. Maletic,,,,Measuring Class Importance in the Context of Design Evolution,148--151,,4,"impact analysis, software evolution, mining software repositories",10.1109/ICPC.2010.31,,,,,,,2010,,Proceedings of the 2010 IEEE 18th International Conference on Program Comprehension,ICPC '10,,978-0-7695-4113-6,,IEEE Computer Society,"Washington, DC, USA"
article,1438609,Muhammad Usman Bhatti and St&#233;phane  Ducasse and Awais  Rashid,,,,Aspect Mining in Procedural Object Oriented Code,230--235,,6,"Reverse Engineering, Aspect Oriented Programming, Aspect Mining, Crosscutting Concerns",10.1109/ICPC.2008.45,,,,,,,2008,,Proceedings of the 2008 The 16th IEEE International Conference on Program Comprehension,ICPC '08,,978-0-7695-3176-2,,IEEE Computer Society,"Washington, DC, USA"
article,2863033,Ahmad  Jbara and Dror G. Feitelson,,,,How Programmers Read Regular Code: A Controlled Experiment Using Eye Tracking,244--254,,11,"Code regularity, Eye tracking, Code complexity metrics, Controlled experiment",10.1109/ICPC.2015.35,,,,,,,2015,,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,ICPC '15,,978-1-4673-8159-8,,IEEE Computer Society,"Washington, DC, USA"
article,1438590,Marc  Eaddy and Alfred V. Aho and Giuliano  Antoniol and Yann-Ga&#235;l  Gu&#233;h&#233;neuc,,,,"CERBERUS: Tracing Requirements to Source Code Using Information Retrieval, Dynamic Analysis, and Program Analysis",53--62,,10,"concern location, infromation retrieval, execution traces, program analysis, prune dependency",10.1109/ICPC.2008.39,,,,,,,2008,,Proceedings of the 2008 The 16th IEEE International Conference on Program Comprehension,ICPC '08,,978-0-7695-3176-2,,IEEE Computer Society,"Washington, DC, USA"
article,856949,S.  Counsell and P.  Newson and E.  Mendes,,,,Architectural Level Hypothesis Testing Through Reverse Engineering of Object-Oriented Software,60--,,,,,,,,,,,2000,,Proceedings of the 8th International Workshop on Program Comprehension,IWPC '00,,0-7695-0656-9,,IEEE Computer Society,"Washington, DC, USA"
article,1136199,Andrea  De Lucia and Fausto  Fasano and Rocco  Oliveto and Genoveffa  Tortora,,,,Can Information Retrieval Techniques Effectively Support Traceability Link Recovery?,307--316,,10,,10.1109/ICPC.2006.15,,,,,,,2006,,Proceedings of the 14th IEEE International Conference on Program Comprehension,ICPC '06,,0-7695-2601-2,,IEEE Computer Society,"Washington, DC, USA"
article,883340,Stefan  Andel and Beniamino Di Martino and Jan  Hulman and Hans P. Zima,,,,Program Comprehension Support for Knowledge-Based Parallelization,455--,,,,,,,,,,,1996,,Proceedings of the 4th Euromicro Workshop on Parallel and Distributed Processing (PDP '96),PDP '96,,,,IEEE Computer Society,"Washington, DC, USA"
article,803210,Ruven  Brooks,,,,Using a Behavioral Theory of Program Comprehension in Software Engineering,196--201,,6,,,,,,,,,1978,,Proceedings of the 3rd International Conference on Software Engineering,ICSE '78,,,"Atlanta, Georgia, USA",IEEE Press,"Piscataway, NJ, USA"
article,1438599,L&#225;szl&#243;  Vid&#225;cs and Judit  J&#225;sz and &#193;rp&#225;d  Besz&#233;des and Tibor  Gyim&#243;thy,,,,Combining Preprocessor Slicing with C/C++ Language Slicing,163--171,,9,"Program slicing, C/C++, preprocessing, preprocessor slicing",10.1109/ICPC.2008.33,,,,,,,2008,,Proceedings of the 2008 The 16th IEEE International Conference on Program Comprehension,ICPC '08,,978-0-7695-3176-2,,IEEE Computer Society,"Washington, DC, USA"
article,2820320,Teresa  Busjahn and Roman  Bednarik and Andrew  Begel and Martha  Crosby and James H. Paterson and Carsten  Schulte and Bonita  Sharif and Sascha  Tamm,,,,Eye Movements in Code Reading: Relaxing the Linear Order,255--265,,11,,,,,,,,,2015,,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,ICPC '15,,,"Florence, Italy",IEEE Press,"Piscataway, NJ, USA"
article,3196359,Jordan  Ott and Abigail  Atchison and Paul  Harnack and Natalie  Best and Haley  Anderson and Cristiano  Firmani and Erik  Linstead,,,,Learning Lexical Features of Programming Languages from Imagery Using Convolutional Neural Networks,336--339,,4,"convolutional neural networks, deep learning, program syntax",10.1145/3196321.3196359,,,,,,,2018,,Proceedings of the 26th Conference on Program Comprehension,ICPC '18,,978-1-4503-5714-2,"Gothenburg, Sweden",ACM,"New York, NY, USA"
article,3101433,M.  Ceccato and P.  Tonella and C.  Basile and B.  Coppens and B.  De Sutter and P.  Falcarin and M.  Torchiano,,,,How Professional Hackers Understand Protected Code While Performing Attack Tasks,154--164,,11,,10.1109/ICPC.2017.2,,,,,,,2017,,Proceedings of the 25th International Conference on Program Comprehension,ICPC '17,,978-1-5386-0535-6,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA"
article,2820303,Emily  Hill and David  Shepherd and Lori  Pollock,,,,Exploring the Use of Concern Element Role Information in Feature Location Evaluation,140--150,,11,,,,,,,,,2015,,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,ICPC '15,,,"Florence, Italy",IEEE Press,"Piscataway, NJ, USA"
article,3339116,Marcel  Steinbeck and Rainer  Koschke and Marc O. R&#252;del,,,,Comparing the EvoStreets Visualization Technique in Two D and Three-dimensional Environments: A Controlled Experiment,231--242,,12,,10.1109/icpc.2019.00042,,,,,,,2019,,Proceedings of the 27th International Conference on Program Comprehension,ICPC '19,,,"Montreal, Quebec, Canada",IEEE Press,"Piscataway, NJ, USA"
article,1136200,Andrea  De Lucia and Rocco  Oliveto and Francesco  Zurolo and Massimiliano  Di Penta,,,,Improving Comprehensibility of Source Code via Traceability Information: A Controlled Experiment,317--326,,10,"traceability recovery, empirical studies.",10.1109/ICPC.2006.28,,,,,,,2006,,Proceedings of the 14th IEEE International Conference on Program Comprehension,ICPC '06,,0-7695-2601-2,,IEEE Computer Society,"Washington, DC, USA"
article,2057233,James R. Cordy and Chanchal K. Roy,,,,DebCheck: Efficient Checking for Open Source Code Clones in Software Systems,217--218,,2,"clone detection, open source, licensing, GPL",10.1109/ICPC.2011.27,,,,,,,2011,,Proceedings of the 2011 IEEE 19th International Conference on Program Comprehension,ICPC '11,,978-0-7695-4398-7,,IEEE Computer Society,"Washington, DC, USA"
article,2057246,Minhaz F. Zibran and Chanchal K. Roy,,,,Conflict-Aware Optimal Scheduling of Code Clone Refactoring: A Constraint Programming Approach,266--269,,4,"code clone, software maintenance, refactoring, reengineering, scheduling, constraint programming",10.1109/ICPC.2011.45,,,,,,,2011,,Proceedings of the 2011 IEEE 19th International Conference on Program Comprehension,ICPC '11,,978-0-7695-4398-7,,IEEE Computer Society,"Washington, DC, USA"
article,1847930,J.-R.  Falleri and M.  Huchard and M.  Lafourcade and C.  Nebut and V.  Prince and M.  Dao,,,,Automatic Extraction of a WordNet-Like Identifier Network from Software,4--13,,10,"Identifiers, Software Comprehension, Natural Language Processing",10.1109/ICPC.2010.12,,,,,,,2010,,Proceedings of the 2010 IEEE 18th International Conference on Program Comprehension,ICPC '10,,978-0-7695-4113-6,,IEEE Computer Society,"Washington, DC, USA"
article,3196363,Giovanni  Grano and Simone  Scalabrino and Harald C. Gall and Rocco  Oliveto,,,,An Empirical Investigation on the Readability of Manual and Generated Test Cases,348--351,,4,"automated testing, empirical software engineering, readability",10.1145/3196321.3196363,,,,,,,2018,,Proceedings of the 26th Conference on Program Comprehension,ICPC '18,,978-1-4503-5714-2,"Gothenburg, Sweden",ACM,"New York, NY, USA"
article,3339089,Hao  Yu and Wing  Lam and Long  Chen and Ge  Li and Tao  Xie and Qianxiang  Wang,,,,Neural Detection of Semantic Code Clones via Tree-based Convolution,70--80,,11,"AST, clone detection, embedding, generalization, lexical information, semantic clone, source code, structural information, token, tree-based convolution",10.1109/ICPC.2019.00021,,,,,,,2019,,Proceedings of the 27th International Conference on Program Comprehension,ICPC '19,,,"Montreal, Quebec, Canada",IEEE Press,"Piscataway, NJ, USA"
article,2820289,Roberto  Minelli and Andrea Mocci and and Michele  Lanza,,,,I Know What You Did Last Summer: An Investigation of How Developers Spend Their Time,25--35,,11,,,,,,,,,2015,,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,ICPC '15,,,"Florence, Italy",IEEE Press,"Piscataway, NJ, USA"
article,881273,,,,,A Suite of Tools for Facilitating Reverse Engineering Using Formal Methods,221--,,,,,,,,,,,2001,,Proceedings of the 9th International Workshop on Program Comprehension,IWPC '01,,,,IEEE Computer Society,"Washington, DC, USA"
article,1006823,,,,,Challenges and Requirements for an Effective Trace Exploration Tool,70--,,,,,,,,,,,2004,,Proceedings of the 12th IEEE International Workshop on Program Comprehension,IWPC '04,,0-7695-2149-5,,IEEE Computer Society,"Washington, DC, USA"
article,2057236,Iman  Keivanloo and Juergen  Rilling and Philippe  Charland,,,,SeClone - A Hybrid Approach to Internet-Scale Real-Time Code Clone Search,223--224,,2,"Code clone, real-time search, clustering, ontology",10.1109/ICPC.2011.29,,,,,,,2011,,Proceedings of the 2011 IEEE 19th International Conference on Program Comprehension,ICPC '11,,978-0-7695-4398-7,,IEEE Computer Society,"Washington, DC, USA"
article,380556,Margaret Ann Francel and Spencer  Rugaber,,,,The Value of Slicing While Debugging,151--169,,19,"debugging, program slicing, reverse engineering",10.1016/S0167-6423(01)00013-2,Sci. Comput. Program.,July 2001,40,2-3,,July,2001,0167-6423,,,,,,"Elsevier North-Holland, Inc.","Amsterdam, The Netherlands, The Netherlands"
article,837873,Scott R. Tilley and Dennis B. Smith,,,,On Using the Web As Infrastructure for Reengineering,170--,,,,,,,,,,,1997,,Proceedings of the 5th International Workshop on Program Comprehension (WPC '97),WPC '97,,0-8186-7993-X,,IEEE Computer Society,"Washington, DC, USA"
article,2863023,Charlie  Soh and Hee Beng Kuan Tan and Yauhen Leanidavich Arnatovich and Lipo  Wang,,,,Detecting Clones in Android Applications Through Analyzing User Interfaces,163--173,,11,"Android, Repackaging, Clone detection, User interface, Obfuscation resilient",10.1109/ICPC.2015.25,,,,,,,2015,,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,ICPC '15,,978-1-4673-8159-8,,IEEE Computer Society,"Washington, DC, USA"
article,1271353,Shaohua  Xie and Eileen  Kraemer and R. E. K. Stirewalt,,,,Empirical Evaluation of a UML Sequence Diagram with Adornments to Support Understanding of Thread Interactions,123--134,,12,,10.1109/ICPC.2007.19,,,,,,,2007,,Proceedings of the 15th IEEE International Conference on Program Comprehension,ICPC '07,,0-7695-2860-0,,IEEE Computer Society,"Washington, DC, USA"
article,1059370,Michael  English and Jim  Buckley and Tony  Cahill and Kristian  Lynch,,,,An Empirical Study of the Use of Friends in C++ Software,329--332,,4,,10.1109/WPC.2005.7,,,,,,,2005,,Proceedings of the 13th International Workshop on Program Comprehension,IWPC '05,,0-7695-2254-8,,IEEE Computer Society,"Washington, DC, USA"
article,857039,Filippo  Ricca and Paolo  Tonella,,,,Using Clustering to Support the Migration from Static to Dynamic Web Pages,207--,,,,,,,,,,,2003,,Proceedings of the 11th IEEE International Workshop on Program Comprehension,IWPC '03,,0-7695-1883-4,,IEEE Computer Society,"Washington, DC, USA"
