type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,837082,Stephen  Perelgut,,,,The Case for a Single Data Exchange Format,281--,,,"Data exchange formats, metrics, program comprehension, legacy recovery",,,,,,,,2000,,Proceedings of the Seventh Working Conference on Reverse Engineering (WCRE'00),WCRE '00,,0-7695-0881-2,,IEEE Computer Society,"Washington, DC, USA"
article,1297957,Einar W. H&#248;st,,,,Understanding Programmer Language,943--944,,2,"informal semantics, patterns, program analysis, program comprehension, traceability",10.1145/1297846.1297957,,,,,,,2007,,Companion to the 22Nd ACM SIGPLAN Conference on Object-oriented Programming Systems and Applications Companion,OOPSLA '07,,978-1-59593-865-7,"Montreal, Quebec, Canada",ACM,"New York, NY, USA"
article,2114775,Ural  Erdemir and Umut  Tekin and Feza  Buzluca,,,,Object Oriented Software Clustering Based on Community Structure,315--321,,7,"Software Architecture Recovery, Software Clustering, Reverse Engineering, Program Comprehension",10.1109/APSEC.2011.33,,,,,,,2011,,Proceedings of the 2011 18th Asia-Pacific Software Engineering Conference,APSEC '11,,978-0-7695-4609-4,,IEEE Computer Society,"Washington, DC, USA"
article,3017202,Ioana  &#378;ora,,,,Finding the Right Needles in Hay,129--140,,12,"Key Classes., Program Comprehension, Recommender System, Reverse Engineering",10.5220/0005465901290140,,,,,,,2015,,Proceedings of the 10th International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE 2015,,978-989-758-100-7,"Barcelona, Spain","SCITEPRESS - Science and Technology Publications, Lda",Portugal
article,1025544,Giuseppe Antonio Di Lucca and Anna Rita Fasolino and Porfirio  Tramontana and Ugo  De Carlini,,,,Supporting Concept Assignment in the Comprehension of Web Applications,492--497,,6,"Web Engineering, Program Comprehension, Concept Assignment Process, Reverse Engineering",,,,,,,,2004,,Proceedings of the 28th Annual International Computer Software and Applications Conference - Volume 01,COMPSAC '04,,0-7695-2209-2-1,,IEEE Computer Society,"Washington, DC, USA"
article,837135,Suzanne M. Embury and Jianhua  Shao,,,,Assisting the Comprehension of Legacy Transactions,345--,,,"program comprehension, symbolic execution, legacy transactions, data reverse engineering",,,,,,,,2001,,Proceedings of the Eighth Working Conference on Reverse Engineering (WCRE'01),WCRE '01,,0-7695-1303-4,,IEEE Computer Society,"Washington, DC, USA"
article,2862528,Chung-Cheng  Tseng and Po-Yao  Chao and K. Robert Lai,,,,An Analysis of Goal Orientation Pattern and Self-Efficacy for Explanation of Programming Plans,76--77,,2,"programming plans, program comprehension, intrinsic goal orientation, extrinsic goal orientation",10.1109/ICALT.2015.93,,,,,,,2015,,Proceedings of the 2015 IEEE 15th International Conference on Advanced Learning Technologies,ICALT '15,,978-1-4673-7334-0,,IEEE Computer Society,"Washington, DC, USA"
article,1919574,Dawn  Lawrie and Dave  Binkley and Christopher  Morrell,,,,Normalizing Source Code Vocabulary,3--12,,10,"source code analysis tools, information retrieval, program comprehension",10.1109/WCRE.2010.10,,,,,,,2010,,Proceedings of the 2010 17th Working Conference on Reverse Engineering,WCRE '10,,978-0-7695-4123-5,,IEEE Computer Society,"Washington, DC, USA"
article,1368227,Jin  Guo and King Chun Foo and Liliane  Barbour and Ying  Zou,,,,A Business Process Explorer: Recovering and Visualizing e-Commerce Business Processes,871--874,,4,"business process, e-commerce, process recovery, program comprehension",10.1145/1368088.1368227,,,,,,,2008,,Proceedings of the 30th International Conference on Software Engineering,ICSE '08,,978-1-60558-079-1,"Leipzig, Germany",ACM,"New York, NY, USA"
article,1847987,Zhongjie  Wang and Xiaofei  Xu and Dianhui  Chu and Lanshun  Nie and Tianyi  Zang and Xiaofeng  Liu,,,,Comprehensive Practice on Service Engineering: An Experimental Solution,17--21,,5,"service engineering, course design, execution program, comprehensive practice, continuous improvement",10.1109/ICSS.2010.15,,,,,,,2010,,Proceedings of the 2010 International Conference on Service Sciences,ICSS '10,,978-0-7695-4017-7,,IEEE Computer Society,"Washington, DC, USA"
